INFO 2012-01-18 18:09:41,353 Org/Place import start
INFO 2012-01-18 18:10:10,944 196269327057864: Record for Place exists
INFO 2012-01-18 18:10:10,947 143571885676789: Record for Place exists
INFO 2012-01-18 18:10:10,949 188318934577921: Record for Place exists
INFO 2012-01-18 18:10:10,951 129439873756538: Record for Place exists
INFO 2012-01-18 18:10:10,953 119552624762155: Record for Place exists
INFO 2012-01-18 18:10:10,955 210353062353071: Record for Place exists
INFO 2012-01-18 18:10:10,957 265552837600: Record for Place exists
INFO 2012-01-18 18:10:10,960 228626657149241: Record for Place exists
INFO 2012-01-18 18:10:10,962 176305832416884: Record for Place exists
INFO 2012-01-18 18:10:10,964 100534283339973: Record for Place exists
INFO 2012-01-18 18:10:10,966 113962161968984: Record for Place exists
INFO 2012-01-18 18:10:10,968 159333017472651: Record for Place exists
INFO 2012-01-18 18:10:10,970 159315930762262: Record for Place exists
INFO 2012-01-18 18:10:10,972 169837819738549: Record for Place exists
INFO 2012-01-18 18:10:10,974 212844328734963: Record for Place exists
INFO 2012-01-18 18:10:10,977 138260662913189: Record for Place exists
INFO 2012-01-18 18:10:10,979 210850118958054: Record for Place exists
INFO 2012-01-18 18:10:10,983 152124928197224: Record for Place exists
INFO 2012-01-18 18:10:10,986 129842703746087: Record for Place exists
INFO 2012-01-18 18:10:10,988 142203195842244: Record for Place exists
INFO 2012-01-18 18:10:10,991 119426894737363: Record for Place exists
INFO 2012-01-18 18:10:10,994 145267175496435: Record for Place exists
INFO 2012-01-18 18:10:10,996 158426424099: Record for Place exists
INFO 2012-01-18 18:10:10,998 153716677991591: Record for Place exists
INFO 2012-01-18 18:10:11,000 112548265427481: Record for Place exists
INFO 2012-01-18 18:10:11,002 211150005594090: Record for Place exists
INFO 2012-01-18 18:10:11,004 167853403246553: Record for Place exists
INFO 2012-01-18 18:10:11,010 107608119018: Record for Place exists
INFO 2012-01-18 18:10:11,015 146440232053964: Record for Place exists
INFO 2012-01-18 18:10:11,017 213444795363920: Record for Place exists
INFO 2012-01-18 18:10:11,019 151119971617345: Record for Place exists
INFO 2012-01-18 18:10:11,021 100613503364965: Record for Place exists
INFO 2012-01-18 18:10:11,026 116497278377609: Record for Place exists
INFO 2012-01-18 18:10:11,029 135261526501378: Record for Place exists
INFO 2012-01-18 18:10:11,031 214786457368: Record for Place exists
INFO 2012-01-18 18:10:11,033 140363222665783: Record for Place exists
INFO 2012-01-18 18:10:11,036 111767855562912: Record for Place exists
INFO 2012-01-18 18:10:11,038 342938514132: Record for Place exists
INFO 2012-01-18 18:10:11,041 202327803122711: Record for Place exists
INFO 2012-01-18 18:10:11,043 116323851721265: Record for Place exists
INFO 2012-01-18 18:10:11,046 130544936989719: Record for Place exists
INFO 2012-01-18 18:10:11,048 228460963833734: Record for Place exists
INFO 2012-01-18 18:10:11,050 154699421249249: Record for Place exists
INFO 2012-01-18 18:10:11,052 162866220417016: Record for Place exists
INFO 2012-01-18 18:10:11,053 119900121359534: Record for Place exists
INFO 2012-01-18 18:10:11,055 169823143054259: Record for Place exists
INFO 2012-01-18 18:10:11,057 136715426370580: Record for Place exists
INFO 2012-01-18 18:10:11,060 268091389891115: Record for Place exists
INFO 2012-01-18 18:10:11,062 111618085543882: Record for Place exists
INFO 2012-01-18 18:10:11,064 145348918838975: Record for Place exists
INFO 2012-01-18 18:10:11,066 149816418414032: Record for Place exists
INFO 2012-01-18 18:10:11,069 233331533346956: Record for Place exists
INFO 2012-01-18 18:10:11,072 108948089174940: Record for Place exists
INFO 2012-01-18 18:10:11,074 251331174880763: Record for Place exists
