INFO 2012-01-18 19:11:21,009 Org/Place import start
INFO 2012-01-18 19:11:50,311 196269327057864: Record for Place exists
INFO 2012-01-18 19:11:50,313 143571885676789: Record for Place exists
INFO 2012-01-18 19:11:50,316 188318934577921: Record for Place exists
INFO 2012-01-18 19:11:50,318 129439873756538: Record for Place exists
INFO 2012-01-18 19:11:50,320 119552624762155: Record for Place exists
INFO 2012-01-18 19:11:50,322 210353062353071: Record for Place exists
INFO 2012-01-18 19:11:50,324 265552837600: Record for Place exists
INFO 2012-01-18 19:11:50,326 228626657149241: Record for Place exists
INFO 2012-01-18 19:11:50,328 176305832416884: Record for Place exists
INFO 2012-01-18 19:11:50,331 100534283339973: Record for Place exists
INFO 2012-01-18 19:11:50,333 113962161968984: Record for Place exists
INFO 2012-01-18 19:11:50,335 159333017472651: Record for Place exists
INFO 2012-01-18 19:11:50,337 159315930762262: Record for Place exists
INFO 2012-01-18 19:11:50,339 169837819738549: Record for Place exists
INFO 2012-01-18 19:11:50,342 212844328734963: Record for Place exists
INFO 2012-01-18 19:11:50,344 138260662913189: Record for Place exists
INFO 2012-01-18 19:11:50,346 210850118958054: Record for Place exists
INFO 2012-01-18 19:11:50,352 152124928197224: Record for Place exists
INFO 2012-01-18 19:11:50,354 129842703746087: Record for Place exists
INFO 2012-01-18 19:11:50,357 142203195842244: Record for Place exists
INFO 2012-01-18 19:11:50,363 119426894737363: Record for Place exists
INFO 2012-01-18 19:11:50,370 145267175496435: Record for Place exists
INFO 2012-01-18 19:11:50,373 158426424099: Record for Place exists
INFO 2012-01-18 19:11:50,375 153716677991591: Record for Place exists
INFO 2012-01-18 19:11:50,377 112548265427481: Record for Place exists
INFO 2012-01-18 19:11:50,379 211150005594090: Record for Place exists
INFO 2012-01-18 19:11:50,381 167853403246553: Record for Place exists
INFO 2012-01-18 19:11:50,383 107608119018: Record for Place exists
INFO 2012-01-18 19:11:50,385 146440232053964: Record for Place exists
INFO 2012-01-18 19:11:50,388 213444795363920: Record for Place exists
INFO 2012-01-18 19:11:50,390 151119971617345: Record for Place exists
INFO 2012-01-18 19:11:50,393 100613503364965: Record for Place exists
INFO 2012-01-18 19:11:50,395 116497278377609: Record for Place exists
INFO 2012-01-18 19:11:50,398 135261526501378: Record for Place exists
INFO 2012-01-18 19:11:50,400 214786457368: Record for Place exists
INFO 2012-01-18 19:11:50,402 140363222665783: Record for Place exists
INFO 2012-01-18 19:11:50,404 111767855562912: Record for Place exists
INFO 2012-01-18 19:11:50,406 342938514132: Record for Place exists
INFO 2012-01-18 19:11:50,408 202327803122711: Record for Place exists
INFO 2012-01-18 19:11:50,411 116323851721265: Record for Place exists
INFO 2012-01-18 19:11:50,413 130544936989719: Record for Place exists
INFO 2012-01-18 19:11:50,415 228460963833734: Record for Place exists
INFO 2012-01-18 19:11:50,418 154699421249249: Record for Place exists
INFO 2012-01-18 19:11:50,420 162866220417016: Record for Place exists
INFO 2012-01-18 19:11:50,422 119900121359534: Record for Place exists
INFO 2012-01-18 19:11:50,424 169823143054259: Record for Place exists
INFO 2012-01-18 19:11:50,426 136715426370580: Record for Place exists
INFO 2012-01-18 19:11:50,428 268091389891115: Record for Place exists
INFO 2012-01-18 19:11:50,434 111618085543882: Record for Place exists
INFO 2012-01-18 19:11:50,436 145348918838975: Record for Place exists
INFO 2012-01-18 19:11:50,439 149816418414032: Record for Place exists
INFO 2012-01-18 19:11:50,441 233331533346956: Record for Place exists
INFO 2012-01-18 19:11:50,444 108948089174940: Record for Place exists
INFO 2012-01-18 19:11:50,446 251331174880763: Record for Place exists
INFO 2012-01-18 19:11:50,448 117466331606007: Record for Place exists
INFO 2012-01-18 19:11:50,451 198856626829356: Record for Place exists
INFO 2012-01-18 19:11:50,453 111737188863708: Record for Place exists
INFO 2012-01-18 19:11:50,455 126231507443211: Record for Place exists
INFO 2012-01-18 19:11:50,458 165761710124951: Record for Place exists
INFO 2012-01-18 19:11:50,460 150030311694602: Record for Place exists
INFO 2012-01-18 19:11:50,462 117686481591100: Record for Place exists
INFO 2012-01-18 19:11:50,464 147620881990605: Record for Place exists
INFO 2012-01-18 19:11:50,466 178579925508282: Record for Place exists
INFO 2012-01-18 19:11:50,468 203648449654884: Record for Place exists
INFO 2012-01-18 19:11:50,470 109356639091113: Record for Place exists
INFO 2012-01-18 19:11:50,473 145350382161040: Record for Place exists
INFO 2012-01-18 19:11:50,476 138131526223091: Record for Place exists
INFO 2012-01-18 19:11:50,478 100958776640463: Record for Place exists
ERROR 2012-01-18 19:11:50,478 108118205897137: 
ERROR 2012-01-18 19:11:50,478 152587291434691: 
INFO 2012-01-18 19:11:50,481 154976574517180: Record for Place exists
ERROR 2012-01-18 19:11:50,481 152695441435026: 
INFO 2012-01-18 19:11:50,483 128349150544158: Record for Place exists
INFO 2012-01-18 19:11:50,486 114173821946782: Record for Place exists
INFO 2012-01-18 19:11:50,488 117977064894820: Record for Place exists
ERROR 2012-01-18 19:11:50,488 128349150544158: 
INFO 2012-01-18 19:11:50,491 183955898366561: Record for Place exists
INFO 2012-01-18 19:11:50,493 156705681012849: Record for Place exists
INFO 2012-01-18 19:11:50,495 199313473438118: Record for Place exists
INFO 2012-01-18 19:11:50,498 172408389456535: Record for Place exists
INFO 2012-01-18 19:11:50,500 144623178941770: Record for Place exists
INFO 2012-01-18 19:11:50,502 190688547620172: Record for Place exists
ERROR 2012-01-18 19:11:50,503 135481663163004: 
INFO 2012-01-18 19:11:50,505 143366939091911: Record for Place exists
ERROR 2012-01-18 19:11:50,505 116314358392567: 
INFO 2012-01-18 19:11:50,507 157503417604446: Record for Place exists
INFO 2012-01-18 19:11:50,509 202144106511635: Record for Place exists
INFO 2012-01-18 19:11:50,511 212413718803819: Record for Place exists
INFO 2012-01-18 19:11:50,512 104944106215671: Record for Place exists
INFO 2012-01-18 19:11:50,517 331056342058: Record for Place exists
INFO 2012-01-18 19:11:50,520 215184881855948: Record for Place exists
INFO 2012-01-18 19:11:50,523 109387299100948: Record for Place exists
INFO 2012-01-18 19:11:50,525 111528055554226: Record for Place exists
INFO 2012-01-18 19:11:50,527 198092070246819: Record for Place exists
INFO 2012-01-18 19:11:50,530 288758447809844: Record for Place exists
INFO 2012-01-18 19:11:50,532 128780290528873: Record for Place exists
INFO 2012-01-18 19:11:50,534 190869194325126: Record for Place exists
INFO 2012-01-18 19:11:50,536 165488413477643: Record for Place exists
INFO 2012-01-18 19:11:50,538 111769312194095: Record for Place exists
INFO 2012-01-18 19:11:50,540 174055605975383: Record for Place exists
INFO 2012-01-18 19:11:50,542 204366979592443: Record for Place exists
INFO 2012-01-18 19:11:50,544 147385685288828: Record for Place exists
INFO 2012-01-18 19:11:50,546 199927596697648: Record for Place exists
INFO 2012-01-18 19:11:50,548 126331274081046: Record for Place exists
